icd9_code,label_index,code_kind,name,short_name,type,description,orpha_code,orpha_name,icd10_map,mapping_method,is_rare_disease
698.8,299,diagnosis,Other specified pruritic conditions,Pruritic conditions NEC,ICD-9-CM diagnosis,Other specified pruritic conditions,none,none,L29.8,none,no
448.9,300,diagnosis,Other and unspecified capillary diseases,Capillary dis NEC/NOS,ICD-9-CM diagnosis,Other and unspecified capillary diseases,none,none,I78.8;I78.9,none,no
748.3,301,diagnosis,"Other anomalies of larynx, trachea, and bronchus",Laryngotrach anomaly NEC,ICD-9-CM diagnosis,"Other anomalies of larynx, trachea, and bronchus",none,none,Q31.1;Q31.3;Q31.8;Q32.1;Q32.4,none,no
446.29,302,diagnosis,Other specified hypersensitivity angiitis,Hypersensit angiitis NEC,ICD-9-CM diagnosis,Other specified hypersensitivity angiitis,none,none,M31.0,none,no
331.5,303,diagnosis,Idiopathic normal pressure hydrocephalus (INPH),Norml pressure hydroceph,ICD-9-CM diagnosis,Idiopathic normal pressure hydrocephalus (INPH),none,none,G91.2,none,no
582.2,304,diagnosis,Chronic glomerulonephritis with lesion of membranoproliferative glomerulonephritis,Chr membranoprolif nephr,Disease,"A rare glomerular disease characterized by a pattern of glomerular injury on kidney biopsy with characteristic light microscopic changes: mesangial hypercellularity, endocapillary proliferation, and thickening of the glomerular basement membrane (GBM). On the basis of immunofluorescence (IF) the disorder is divided into C3 glomerulopathy (C3G) or immunoglobulin-mediated membranoproliferative glomerulonephritis. Through electron microscopy C3G is further divided into Dense deposit disease, with highly electrondense deposits in the glomerular basement membrane, and C3 glomerulonephritis, with mesangial, intramembranous, subendothelial and subepithelial deposits. Secondary causes (autoimmune, infectious, malignancies) are excluded.",ORPHA:54370,Primary membranoproliferative glomerulonephritis,N03.5,name-tail,yes
695.81,305,diagnosis,Ritter's disease,Ritter's disease,Disease,"A rare staphylococcal toxemia caused by epidermolytic toxins of <i>Staphylococcus aureus</i> and characterized by the appearance of widespread erythematous patches, on which large blisters develop. Upon rupture of these blisters, the skin appears reddish and scalded. The lesions typically begin in the face and rapidly expand to other parts of the body. The disease may be complicated by pneumonia and sepsis. It most commonly affects newborns and infants.",ORPHA:36236,Staphylococcal scalded skin syndrome,L00,icd10-exact-E,yes
255.8,306,diagnosis,Other specified disorders of adrenal glands,Adrenal disorder NEC,ICD-9-CM diagnosis,Other specified disorders of adrenal glands,none,none,E27.8,none,no
299.00,307,diagnosis,"Autistic disorder, current or active state",Autistic disord-current,ICD-9-CM diagnosis,"Autistic disorder, current or active state",none,none,F84.0,none,no
348.2,308,diagnosis,Benign intracranial hypertension,Pseudotumor cerebri,Disease,"Idiopathic intracranial hypertension is a neurological disorder characterized by isolated increased intracranial pressure manifesting with recurrent and persistent headaches, nausea, vomiting, progressive and transient obstruction of the visual field, papilledema. Visual loss can be irreversible.",ORPHA:238624,Idiopathic intracranial hypertension,G93.2,name-exact,yes
341.0,309,diagnosis,Neuromyelitis optica,Neuromyelitis optica,ICD-9-CM diagnosis,Neuromyelitis optica,none,none,G36.0,none,no
780.59,310,diagnosis,Other sleep disturbances,Sleep disturbances NEC,ICD-9-CM diagnosis,Other sleep disturbances,none,none,G47.8,none,no
757.1,311,diagnosis,Ichthyosis congenita,Ichthyosis congenita,ICD-9-CM diagnosis,Ichthyosis congenita,none,none,Q80.3;Q80.4;Q80.9,none,no
349.81,312,diagnosis,Cerebrospinal fluid rhinorrhea,Cerebrospinal rhinorrhea,ICD-9-CM diagnosis,Cerebrospinal fluid rhinorrhea,none,none,G96.0,none,no
742.1,313,diagnosis,Microcephalus,Microcephalus,Group of rare disorders (Orphanet),"Microcephalus. Its ICD-10 equivalent (Q02) is an umbrella under which Orphanet catalogues 10 narrower rare diseases, e.g. Amish lethal microcephaly; Autosomal dominant primary microcephaly; Autosomal recessive primary microcephaly.",multiple,Amish lethal microcephaly; Autosomal dominant primary microcephaly; Autosomal recessive primary microcephaly; Isolated congenital microcephaly; (+6 more),Q02,icd10-ntbt-group,group
742.59,314,diagnosis,Other specified congenital anomalies of spinal cord,Spinal cord anomaly NEC,ICD-9-CM diagnosis,Other specified congenital anomalies of spinal cord,none,none,Q06.0;Q06.1;Q06.3;Q06.8,none,no
611.1,315,diagnosis,Hypertrophy of breast,Hypertrophy of breast,ICD-9-CM diagnosis,Hypertrophy of breast,none,none,N62,none,no
31.0,316,procedure,Injection of larynx,Injection of larynx,ICD-9-CM procedure,Injection of larynx,none,none,3E0F3GC;3E0F7GC;3E0F8GC,none,no
751.1,317,diagnosis,Atresia and stenosis of small intestine,Atresia small intestine,ICD-9-CM diagnosis,Atresia and stenosis of small intestine,none,none,Q41.9,none,no
320.1,318,diagnosis,Pneumococcal meningitis,Pneumococcal meningitis,Disease,"A rare infectious disease of the nervous system caused by the bacterium Streptococcus pneumoniae, which is commonly part of the bacterial flora colonizing the nasopharyngeal mucosa. The disease is clinically characterized by typical symptoms of acute leptomeningitis, like fever, headache, neck stiffness, vomiting, and clouding of consciousness. It is frequently fatal and, in surviving patients, often accompanied by long-term sequelae, especially focal neurological deficits, hearing loss, cognitive impairment, and epilepsy.",ORPHA:55655,Pneumococcal meningitis,G00.1,name-exact,yes
552.29,319,diagnosis,Other ventral hernia with obstruction,Obstr ventral hernia NEC,ICD-9-CM diagnosis,Other ventral hernia with obstruction,none,none,K43.6,none,no
273.3,320,diagnosis,Macroglobulinemia,Macroglobulinemia,ICD-9-CM diagnosis,Macroglobulinemia,none,none,C88.0,none,no
188.3,321,diagnosis,Malignant neoplasm of anterior wall of urinary bladder,Mal neo bladder-anterior,ICD-9-CM diagnosis,Malignant neoplasm of anterior wall of urinary bladder,none,none,C67.3,none,no
569.9,322,diagnosis,Unspecified disorder of intestine,Intestinal disorder NOS,ICD-9-CM diagnosis,Unspecified disorder of intestine,none,none,K63.9,none,no
590.11,323,diagnosis,Acute pyelonephritis with lesion of renal medullary necrosis,Ac pyelonephr w med necr,ICD-9-CM diagnosis,Acute pyelonephritis with lesion of renal medullary necrosis,none,none,N10,none,no
154.2,324,diagnosis,Malignant neoplasm of anal canal,Malig neopl anal canal,ICD-9-CM diagnosis,Malignant neoplasm of anal canal,none,none,C21.1,none,no
778.8,325,diagnosis,Other specified conditions involving the integument of fetus and newborn,NB integument cond NEC,ICD-9-CM diagnosis,Other specified conditions involving the integument of fetus and newborn,none,none,P83.8,none,no
745.69,326,diagnosis,Other endocardial cushion defects,Endocard cushion def NEC,ICD-9-CM diagnosis,Other endocardial cushion defects,none,none,Q21.2,none,no
216.5,327,diagnosis,"Benign neoplasm of skin of trunk, except scrotum",Benign neo skin trunk,ICD-9-CM diagnosis,"Benign neoplasm of skin of trunk, except scrotum",none,none,D23.5,none,no
225.1,328,diagnosis,Benign neoplasm of cranial nerves,Benign neo cranial nerve,ICD-9-CM diagnosis,Benign neoplasm of cranial nerves,none,none,D33.3,none,no
